iter	Passed	Remaining
0	1	1914
1	3	1791
2	5	1790
3	6	1714
4	7	1533
5	8	1422
6	10	1473
7	12	1534
8	14	1575
9	16	1611
10	17	1613
11	19	1628
12	20	1591
13	22	1609
14	24	1624
15	27	1672
16	28	1657
17	30	1666
18	32	1678
19	34	1679
20	36	1678
21	37	1668
22	39	1673
23	41	1683
24	43	1684
25	45	1698
26	47	1714
27	49	1715
28	51	1719
29	53	1718
30	54	1717
31	56	1717
32	58	1714
33	60	1718
34	62	1722
35	64	1728
36	66	1728
37	68	1727
38	70	1727
39	71	1726
40	73	1716
41	75	1725
42	78	1752
43	82	1787
44	84	1782
45	85	1779
46	87	1777
47	89	1772
48	91	1773
49	93	1771
50	94	1767
51	96	1767
52	99	1775
53	101	1775
54	103	1773
55	104	1769
56	106	1765
57	108	1761
58	110	1759
59	112	1758
60	114	1756
61	115	1753
62	117	1749
63	119	1747
64	121	1743
65	123	1743
66	124	1740
67	126	1740
68	128	1737
69	130	1734
70	132	1731
71	133	1721
72	134	1712
73	136	1710
74	138	1708
75	140	1705
76	142	1704
77	144	1702
78	145	1699
79	147	1696
80	149	1695
81	151	1693
82	152	1680
83	153	1672
84	155	1670
85	157	1668
86	158	1662
87	160	1660
88	162	1658
89	163	1654
90	165	1652
91	167	1649
92	168	1645
93	170	1643
94	172	1642
95	174	1640
96	175	1637
97	177	1634
98	179	1634
99	180	1625
100	182	1623
101	184	1621
102	185	1619
103	187	1617
104	189	1614
105	191	1614
106	192	1607
107	194	1605
108	196	1603
109	197	1598
110	199	1596
111	201	1596
112	203	1594
113	204	1592
114	206	1591
115	208	1589
116	210	1588
117	212	1586
118	214	1584
119	215	1582
120	217	1580
121	219	1579
122	221	1578
123	223	1576
124	224	1574
125	226	1573
126	228	1571
127	230	1570
128	232	1569
129	233	1565
130	235	1563
131	237	1561
132	239	1559
133	241	1559
134	242	1556
135	244	1554
136	246	1552
137	248	1549
138	249	1547
139	251	1547
140	253	1546
141	255	1544
142	257	1542
143	259	1541
144	261	1540
145	263	1538
146	264	1536
147	266	1535
148	268	1533
149	270	1531
150	272	1531
151	274	1530
152	276	1528
153	277	1526
154	279	1525
155	281	1524
156	283	1522
157	285	1520
158	287	1518
159	289	1517
160	290	1512
161	292	1510
162	294	1510
163	295	1508
164	297	1506
165	299	1504
166	301	1503
167	303	1501
168	304	1499
169	306	1497
170	308	1496
171	310	1495
172	312	1493
173	314	1491
174	315	1488
175	317	1486
176	318	1483
177	320	1481
178	322	1477
179	323	1475
180	325	1474
181	327	1470
182	329	1469
183	330	1467
184	332	1465
185	334	1463
186	336	1461
187	338	1460
188	339	1458
189	341	1456
190	343	1455
191	344	1451
192	346	1449
193	348	1447
194	350	1445
195	352	1444
196	354	1443
197	355	1441
198	357	1439
199	359	1437
200	361	1436
201	363	1434
202	364	1432
203	366	1431
204	368	1429
205	370	1427
206	372	1425
207	374	1424
208	375	1422
209	377	1420
210	379	1418
211	381	1416
212	382	1414
213	384	1412
214	386	1411
215	388	1409
216	390	1407
217	391	1405
218	393	1404
219	395	1403
220	397	1400
221	399	1399
222	401	1397
223	402	1395
224	404	1394
225	406	1392
226	408	1390
227	409	1387
228	411	1385
229	413	1383
230	415	1382
231	417	1380
232	418	1379
233	420	1377
234	422	1376
235	424	1373
236	426	1372
237	428	1370
238	429	1368
239	431	1367
240	433	1364
241	434	1360
242	436	1358
243	438	1357
244	439	1355
245	441	1353
246	443	1351
247	445	1350
248	446	1347
249	448	1345
250	450	1343
251	452	1342
252	453	1340
253	455	1338
254	457	1336
255	459	1334
256	461	1333
257	462	1331
258	465	1330
259	467	1330
260	469	1329
261	471	1328
262	472	1324
263	474	1322
264	476	1321
265	478	1319
266	479	1317
267	481	1315
268	483	1313
269	485	1311
270	487	1310
271	488	1308
272	490	1306
273	492	1304
274	494	1303
275	496	1301
276	497	1299
277	498	1295
278	500	1294
279	502	1292
280	504	1290
281	506	1288
282	508	1287
283	509	1285
284	511	1283
285	513	1282
286	515	1280
287	517	1278
288	518	1276
289	520	1274
290	522	1272
291	524	1270
292	526	1269
293	527	1267
294	529	1266
295	531	1264
296	533	1262
297	535	1260
298	537	1259
299	538	1257
300	540	1255
301	542	1254
302	544	1252
303	546	1250
304	548	1248
305	549	1247
306	551	1244
307	553	1243
